keys,pt-br,en-us
key_hello,Olá,Hello
key_welcome_message,Bem-vindo ao Fabula. Uma ferramenta que te ajuda a criar narrativas de forma simples,Welcome to Fabula. A tool that helps you create narratives in a simple way
